2020-11-22 16:52:56.091 +03:00 [INF] Starting up application
2020-11-22 16:52:56.163 +03:00 [INF] Base directory: C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\bin\Debug\netcoreapp3.1\
2020-11-22 16:52:56.806 +03:00 [INF] read: 'CacheTime' = 15
2020-11-22 16:52:56.912 +03:00 [INF] read: 'CahePath' = 
2020-11-22 16:52:57.027 +03:00 [INF] read: 'CahePath' = 
2020-11-22 16:55:10.808 +03:00 [INF] Starting up application
2020-11-22 16:55:10.929 +03:00 [INF] Base directory: C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\bin\Debug\netcoreapp3.1\
2020-11-22 16:55:11.368 +03:00 [INF] read: 'CacheTime' = 15
2020-11-22 16:55:11.375 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:55:11.456 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:55:51.957 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:55:51.965 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:55:52.101 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:55:52.103 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:55:52.396 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:55:55.023 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:55:57.458 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:55:58.926 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:55:58.926 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:06.086 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:06.221 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:06.968 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:08.616 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:08.688 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:08.692 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:08.697 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:08.699 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:08.703 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:08.729 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:08.729 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:08.729 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:08.729 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:08.729 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:08.956 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:08.957 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:08.959 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:26.888 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:52.692 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:52.695 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:52.695 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:52.696 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:52.697 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:52.698 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:52.699 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:52.699 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:52.699 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:52.700 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:52.701 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:52.701 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:52.702 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:56:52.703 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:56:52.711 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:57:07.720 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:57:18.567 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:57:18.572 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:57:18.594 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:57:18.657 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:57:18.659 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:57:18.663 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:57:18.663 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-22 16:57:18.664 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-22 16:57:18.668 +03:00 [INF] read: 'IsLoggingControllerActions' = False
